Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW,Recommended PV Setup
37,Micro,Retail,7,11.4625,0.4375,0,0,0,0.0375,0.1875,0,10.8,343.875,3.275,15,Lowest,Very Low,1.475,3 kW
49,Micro,Retail,7,11.4625,0.4375,0,0,0,0.0375,0.1875,0,10.8,343.875,3.275,15,Lowest,Very Low,1.475,3 kW
92,Micro,Retail,7,13.0375,1.625,0,0,0,0.175,0.4375,0,10.8,391.125,4.298076923,13,Lowest,Very Low,1.625,4 kW
99,Micro,Retail,7,13.0375,1.625,0,0,0,0.175,0.4375,0,10.8,391.125,3.725,15,Lowest,Very Low,1.625,4 kW
1,Micro,Retail,7,13.0375,1.625,0,0,0,0.175,0.4375,0,10.8,391.125,4.298076923,13,Lowest,Very Low,1.625,4 kW
48,Micro,Agriculture,6,14.6125,1.625,0.0375,4.875,0,0.0875,0.1875,7.8,0,375.75,6.958333333,9,Lowest,Very Low,2.375,4 kW
52,Micro,Agriculture,6,14.6125,1.625,0.0375,4.875,0,0.0875,0.1875,7.8,0,375.75,6.958333333,9,Lowest,Very Low,2.375,4 kW
98,Micro,Agriculture,6,14.6125,1.625,0.0375,4.875,0,0.0875,0.1875,7.8,0,375.75,6.958333333,9,Lowest,Very Low,2.375,4 kW
9,Micro,Services,6,15.95,4.875,0.1875,0,0,1.625,9.1,0,0.1625,410.1428571,7.595238095,9,Lowest,Very Low,2.55,5 kW
66,Micro,Services,6,15.95,4.875,0.1875,0,0,1.625,9.1,0,0.1625,410.1428571,7.595238095,9,Lowest,Very Low,2.55,5 kW
126,Micro,Services,6,15.95,4.875,0.1875,0,0,1.625,9.1,0,0.1625,410.1428571,7.595238095,9,Lowest,Very Low,2.55,5 kW
39,Micro,Manufacturing,6,16.2,3.25,0.375,0.5625,1.3125,0.8125,0.375,0.0625,9.45,416.5714286,5.785714286,12,Lowest,Very Low,3.05,5 kW
45,Micro,Manufacturing,6,16.2,3.25,0.375,0.5625,1.3125,0.8125,0.375,0.0625,9.45,416.5714286,7.714285714,9,Lowest,Very Low,3.05,5 kW
123,Micro,Manufacturing,6,16.2,3.25,0.375,0.5625,1.3125,0.8125,0.375,0.0625,9.45,416.5714286,7.714285714,9,Lowest,Very Low,3.05,5 kW
100,Micro,Retail,7,18.0875,1.625,0.525,0,0,1.625,0.8125,0,13.5,542.625,5.536989796,14,Lowest,Very Low,2.475,5 kW
116,Micro,Retail,7,18.0875,1.625,0.525,0,0,1.625,0.8125,0,13.5,542.625,5.167857143,15,Lowest,Very Low,2.475,5 kW
129,Micro,Retail,7,18.0875,1.625,0.525,0,0,1.625,0.8125,0,13.5,542.625,5.962912088,13,Lowest,Very Low,2.475,5 kW
